Date,NR,WR,SR,ER,NER,Total
2012-04-01,140,28,75,16,3,263
2012-04-02,159,36,86,16,3,301
2012-04-03,165,40,104,19,3,331
2012-04-04,163,43,96,18,3,323
2012-04-05,161,43,90,20,3,317
2012-04-06,163,32,81,19,3,298
2012-04-07,160,35,79,19,4,297
2012-04-08,155,31,76,18,6,286
2012-04-09,156,40,80,16,6,298
2012-04-10,148,36,83,18,4,290
2012-04-11,148,31,75,14,5,274
2012-04-12,151,28,74,20,5,278
2012-04-13,144,32,80,28,5,289
2012-04-14,135,39,81,23,5,284
2012-04-15,126,28,65,22,5,245
2012-04-16,129,50,77,21,5,282
2012-04-17,127,35,77,27,6,271
2012-04-18,123,37,70,28,8,267
2012-04-19,131,43,69,28,8,278
2012-04-20,127,34,72,32,6,272
2012-04-21,137,35,62,39,5,278
2012-04-22,145,23,60,35,5,268
2012-04-23,151,36,83,33,8,311
2012-04-24,151,34,86,27,5,303
2012-04-25,151,47,67,24,4,293
2012-04-26,145,43,58,30,4,280
2012-04-27,152,36,51,32,4,275
2012-04-28,162,29,45,30,4,270
2012-04-29,150,23,36,35,6,250
2012-04-30,148,31,42,28,5,253
2012-05-01,147,27,44,23,5,246
2012-05-02,145,44,51,27,5,271
2012-05-03,141,41,53,18,6,259
2012-05-04,141,36,55,18,5,255
2012-05-05,146,38,51,26,6,266
2012-05-06,154,35,47,22,6,264
2012-05-07,161,41,77,23,5,307
2012-05-08,173,48,78,23,5,326
2012-05-09,185,50,60,30,6,331
2012-05-10,187,40,64,27,5,323
2012-05-11,197,41,62,25,4,328
2012-05-12,190,38,47,25,5,304
2012-05-13,192,41,46,26,4,310
2012-05-14,191,59,54,31,6,342
2012-05-15,193,68,51,32,7,351
2012-05-16,189,57,54,34,8,341
2012-05-17,195,50,59,28,5,336
2012-05-18,202,45,71,25,6,347
2012-05-19,208,53,63,26,5,354
2012-05-20,200,48,52,28,6,334
2012-05-21,195,62,66,27,6,355
2012-05-22,194,63,76,27,6,365
2012-05-23,183,58,76,32,6,355
2012-05-24,189,44,69,20,8,330
2012-05-25,222,38,73,27,8,367
2012-05-26,238,45,87,25,5,400
2012-05-27,223,45,71,25,5,369
2012-05-28,231,46,86,25,5,391
2012-05-29,244,49,81,26,5,404
2012-05-30,256,47,72,28,7,409
2012-05-31,261,37,74,30,7,409
2012-06-01,259,33,74,28,9,402
2012-06-02,262,35,71,23,13,403
2012-06-03,252,25,60,24,13,374
2012-06-04,255,40,71,23,13,402
2012-06-05,249,36,66,26,13,390
2012-06-06,242,32,59,27,13,373
