Date,NR,WR,SR,ER,NER,Total
2017-08-01,2.6,8.0,29.8,1.1,0.0,41
2017-08-02,2.6,8.9,26.8,1.1,0.0,39
2017-08-03,3.1,9.5,27.9,0.3,0.0,41
2017-08-04,2.5,11.2,22.4,0.9,0.0,37
2017-08-05,2.8,10.9,24.3,0.7,0.0,39
2017-08-06,3.3,9.6,26.7,0.8,0.0,40
2017-08-07,0.5,8.2,24.9,0.9,0.0,35
2017-08-08,2.4,7.7,25.7,1.0,0.0,37
2017-08-09,2.6,8.3,17.4,1.1,0.0,29
2017-08-10,3.0,10.1,26.3,0.7,0.0,40
2017-08-11,3.0,9.8,24.3,0.4,0.0,37
2017-08-12,2.5,9.0,25.9,0.5,0.0,38
2017-08-13,2.5,9.9,20.0,0.1,0.0,32
2017-08-14,0.8,10.0,23.3,1.0,0.0,35
2017-08-15,3.2,11.9,26.3,0.8,0.0,42
2017-08-16,3.7,13.5,26.1,1.1,0.0,44
2017-08-17,3.5,13.1,21.4,1.1,0.0,39
2017-08-18,3.6,11.5,17.9,1.1,0.0,34
2017-08-19,2.9,8.6,17.0,1.1,0.0,30
2017-08-20,3.4,9.1,18.3,1.2,0.0,32
2017-08-21,2.8,11.2,26.9,1.1,0.0,42
2017-08-22,2.3,10.2,28.4,1.0,0.0,42
2017-08-23,2.8,11.3,31.1,1.1,0.0,46
2017-08-24,3.4,10.7,23.3,1.5,0.0,39
2017-08-25,3.3,10.7,17.5,1.2,0.0,33
2017-08-26,2.7,11.9,22.3,1.1,0.0,38
2017-08-27,3.5,10.8,21.4,1.0,0.0,37
2017-08-28,0.6,9.1,18.4,1.8,0.0,30
2017-08-29,2.9,8.2,22.3,1.0,0.0,34
2017-08-30,2.6,9.1,30.9,1.1,0.0,44
2017-08-31,3.1,10.1,32.0,0.7,0.0,46
2017-09-01,1.6,11.2,31.2,0.6,0.0,45
2017-09-02,1.7,10.3,31.5,1.1,0.0,45
2017-09-03,2.7,9.1,30.9,1.3,0.0,44
2017-09-04,3.0,11.6,29.1,1.3,0.0,45
2017-09-05,3.5,12.4,24.8,1.3,0.0,42
2017-09-06,3.9,12.7,21.4,1.3,0.0,39
2017-09-07,3.3,13.4,27.9,1.3,0.0,46
2017-09-08,4.0,13.0,29.8,1.1,0.0,48
2017-09-09,3.9,12.7,27.6,1.4,0.0,46
2017-09-10,2.0,12.8,30.8,1.2,0.0,47
2017-09-11,2.2,12.6,30.2,1.2,0.0,46
2017-09-12,3.4,12.1,33.4,1.2,0.0,50
2017-09-13,0.8,13.5,28.8,1.0,0.0,44
2017-09-14,3.7,11.9,28.7,1.1,0.0,45
2017-09-15,3.6,11.4,27.8,1.0,0.0,44
2017-09-16,6.6,11.0,27.9,1.2,0.0,47
2017-09-17,9.7,11.5,21.0,1.2,0.0,43
2017-09-18,0.8,9.9,25.0,0.9,0.0,37
2017-09-19,11.3,13.3,28.1,0.3,0.0,53
2017-09-20,3.6,12.8,28.9,0.4,0.0,46
2017-09-21,11.0,8.0,28.9,0.4,0.0,48
2017-09-22,3.3,9.9,30.8,0.4,0.0,44
2017-09-23,3.3,17.3,33.8,0.6,0.0,55
2017-09-24,3.0,14.8,28.5,0.6,0.0,47
2017-09-25,0.9,15.4,23.0,0.6,0.0,40
