Date,NR,WR,SR,ER,NER,Total
2012-04-01,8.0,12.0,6.0,0,0,26.0
2012-04-02,4.0,10.0,4.0,0,0,18.0
2012-04-03,5.0,14.0,5.0,0,0,24.0
2012-04-04,5.0,21.0,12.0,0,0,38.0
2012-04-05,3.0,25.0,18.0,0,0,46.0
2012-04-06,5.0,25.0,16.0,0,0,46.0
2012-04-07,2.0,16.0,8.0,0,0,25.0
2012-04-08,5.0,13.0,15.0,0,0,26.0
2012-04-09,7.0,18.0,9.0,0,0,39.0
2012-04-10,7.0,21.0,9.0,0,0,37.0
2012-04-11,7.0,21.0,8.0,0,0,37.0
2012-04-12,5.0,26.0,4.0,0,0,38.0
2012-04-13,10.0,21.0,4.0,0,0,36.0
2012-04-14,10.0,12.0,5.0,0,0,26.0
2012-04-15,1.0,12.0,7.0,0,0,18.0
2012-04-16,10.0,15.0,22.0,0,0,32.0
2012-04-17,6.0,18.0,14.0,0,0,45.0
2012-04-18,7.0,19.0,17.0,0,0,40.0
2012-04-19,13.0,17.0,9.0,0,0,47.0
2012-04-20,12.0,12.0,7.0,0,0,33.0
2012-04-21,7.0,14.0,11.0,0,0,28.0
2012-04-22,5.0,23.0,17.0,0,0,40.0
2012-04-23,5.0,24.0,7.0,0,0,46.0
2012-04-24,3.0,17.0,7.0,0,0,27.0
2012-04-25,5.0,18.0,6.0,0,0,29.0
2012-04-26,4.0,20.0,4.0,0,0,28.0
2012-04-27,6.0,20.0,15.0,0,0,41.0
2012-04-28,15.0,25.0,26.0,0,0,66.0
2012-04-29,11.0,24.0,24.0,0,0,59.0
2012-04-30,9.0,29.0,40.0,0,0,78.0
2012-05-01,6.0,26.0,46.0,0,0,78.0
2012-05-02,3.0,21.0,52.0,0,0,76.0
2012-05-03,4.0,30.0,55.0,0,0,89.0
2012-05-04,2.0,38.0,74.0,0,0,114.0
2012-05-05,5.0,35.0,79.0,0,0,119.0
2012-05-06,12.0,30.0,52.0,0,0,94.0
2012-05-07,10.0,24.0,17.0,0,0,51.0
2012-05-08,8.0,16.0,25.0,0,0,49.0
2012-05-09,10.0,18.0,27.0,0,0,55.0
2012-05-10,10.0,31.0,25.0,0,0,66.0
2012-05-11,12.0,24.0,24.0,0,0,60.0
2012-05-12,14.0,39.0,53.0,0,0,106.0
2012-05-13,9.0,34.0,28.0,0,0,71.0
2012-05-14,8.0,28.0,33.0,0,0,69.0
2012-05-15,13.0,31.0,47.0,0,0,90.0
2012-05-16,21.0,40.0,50.0,0,0,111.0
2012-05-17,17.0,36.0,55.0,0,0,108.0
2012-05-18,9.0,32.0,40.0,0,0,80.0
2012-05-19,9.0,32.0,65.0,0,0,105.0
2012-05-20,15.0,33.0,54.0,0,0,101.0
2012-05-21,11.0,39.0,65.0,0,0,115.0
2012-05-22,4.0,40.0,55.0,0,0,99.0
2012-05-23,3.0,42.0,73.0,0,0,118.0
2012-05-24,14.0,49.0,93.0,0,0,156.0
2012-05-25,26.0,53.0,95.0,0,0,175.0
2012-05-26,10.0,50.0,89.0,0,0,149.0
2012-05-27,6.0,45.0,93.0,0,0,144.0
2012-05-28,10.0,45.0,90.0,0,0,145.0
2012-05-29,12.0,41.0,82.0,0,0,135.0
2012-05-30,20.0,51.0,103.0,0,0,174.0
2012-05-31,24.0,57.0,96.0,0,0,177.0
2012-06-01,17.0,70.0,88.0,0,0,175.0
2012-06-02,29.0,67.0,96.0,0,0,191.0
2012-06-03,32.0,53.0,89.0,0,0,174.0
2012-06-04,31.0,46.0,87.0,0,0,164.0
2012-06-05,13.0,39.0,89.0,0,0,140.0
2012-06-06,5.0,21.0,88.0,0,0,114.0
2012-06-07,6.0,22.0,86.0,0,0,114.0
2012-06-08,23.0,41.0,79.0,0,0,143.0
2012-06-09,30.0,43.0,95.0,0,0,168.0
2012-06-10,30.0,43.0,95.0,0,0,168.0
2012-06-11,6.0,13.0,84.0,0,0,103.0
2012-06-12,3.0,13.0,89.0,0,0,106.0
2012-06-13,8.0,12.0,63.0,0,0,83.0
2012-06-14,16.0,25.0,86.0,0,0,127.0
2012-06-15,18.0,47.0,96.0,0,0,160.0
2012-06-16,19.0,65.0,88.0,0,0,172.0
2012-06-17,21.0,71.0,98.0,0,0,190.0
2012-06-18,20.0,79.0,100.0,0,0,199.0
2012-06-19,31.0,77.0,102.0,0,0,210.0
2012-06-20,32.0,75.0,82.0,0,0,189.0
2012-06-21,33.0,63.0,76.0,0,0,172.0
2012-06-22,28.0,60.0,81.0,0,0,168.0
2012-06-23,30.0,59.0,104.0,0,0,192.0
2012-06-24,35.0,70.0,92.0,0,0,197.0
2012-06-25,34.0,69.0,77.0,0,0,181.0
2012-06-26,30.0,57.0,80.0,0,0,167.0
2012-06-27,20.0,43.0,93.0,0,0,155.0
2012-06-28,18.0,36.0,91.0,0,0,144.0
2012-06-29,21.0,30.0,100.0,0,0,151.0
2012-06-30,21.0,30.0,100.0,0,0,151.0
2012-07-01,18.0,29.0,101.0,0,0,148.0
2012-07-02,12.0,17.0,102.0,0,0,131.0
2012-07-03,13.0,38.0,103.0,0,0,153.0
2012-07-04,27.0,37.0,107.0,0,0,170.0
2012-07-05,25.0,44.0,99.0,0,0,169.0
2012-07-06,29.0,56.0,101.0,0,0,185.0
2012-07-07,31.0,59.0,94.0,0,0,184.0
2012-07-08,10.0,38.0,87.0,0,0,135.0
2012-07-09,6.0,30.0,87.0,0,0,123.0
2012-07-10,7.0,28.0,92.0,0,0,126.0
2012-07-11,9.0,25.0,91.0,0,0,125.0
2012-07-12,17.0,31.0,86.0,0,0,134.0
2012-07-13,33.0,50.0,91.0,0,0,174.0
2012-07-14,31.0,55.0,67.0,0,0,154.0
2012-07-15,24.0,48.0,43.0,0,0,115.0
2012-07-16,6.0,36.0,25.0,0,0,67.0
2012-07-17,8.0,38.0,49.0,0,0,95.0
2012-07-18,26.0,61.0,83.0,0,0,170.0
2012-07-19,34.0,76.0,96.0,0,0,206.0
2012-07-20,15.0,72.0,103.0,0,0,189.0
2012-07-21,7.0,52.0,97.0,0,0,156.0
2012-07-22,4.0,63.0,99.0,0,0,166.0
2012-07-23,23.0,70.0,103.0,0,0,196.0
2012-07-24,31.0,73.0,107.0,0,0,210.0
2012-07-25,25.0,71.0,99.0,0,0,195.0
2012-07-26,12.0,72.0,112.0,0,0,196.0
2012-07-27,9.0,64.0,98.0,0,0,171.0
2012-07-28,14.0,68.0,98.0,0,0,180.0
2012-07-29,26.0,75.0,102.0,0,0,203.0
2012-07-30,16.0,71.0,97.0,0,0,184.0
2012-07-31,16.0,65.0,98.0,0,0,180.0
2012-08-01,18.0,72.0,87.0,0,0,177.0
2012-08-02,33.0,77.0,97.0,0,0,207.0
2012-08-03,32.0,84.0,108.0,0,0,224.0
2012-08-04,22.0,72.0,102.0,0,0,196.0
2012-08-05,4.0,51.0,97.0,0,0,153.0
2012-08-06,3.0,44.0,104.0,0,0,151.0
2012-08-07,5.0,42.0,94.0,0,0,140.0
2012-08-08,3.0,53.0,92.0,0,0,148.0
2012-08-09,11.0,68.0,99.0,0,0,177.0
2012-08-10,11.0,52.0,106.0,0,0,168.0
2012-08-11,4.0,44.0,102.0,0,0,150.0
2012-08-12,5.0,62.0,71.0,0,0,138.0
2012-08-13,6.0,61.0,68.0,0,0,136.0
2012-08-14,6.0,57.0,84.0,0,0,146.0
2012-08-15,6.0,44.0,81.0,0,0,132.0
2012-08-16,6.0,45.0,92.0,0,0,143.0
2012-08-17,9.0,44.0,99.0,0,0,151.0
2012-08-18,9.0,44.0,99.0,0,0,151.0
2012-08-19,10.0,30.0,102.0,0,0,141.0
2012-08-20,6.0,25.0,99.0,0,0,131.0
2012-08-21,16.0,32.0,75.0,0,0,123.0
2012-08-22,17.0,29.0,32.0,0,0,78.0
2012-08-23,11.0,21.0,43.0,0,0,75.0
2012-08-24,16.0,28.0,49.0,0,0,93.0
2012-08-25,18.0,36.0,79.0,0,0,134.0
2012-08-26,7.0,28.0,87.0,0,0,122.0
2012-08-27,5.0,21.0,90.0,0,0,116.0
2012-08-28,3.0,25.0,98.0,0,0,125.0
2012-08-29,2.0,14.0,98.0,0,0,113.0
2012-08-30,1.0,16.0,87.0,0,0,104.0
2012-08-31,1.0,10.0,86.0,0,0,97.0
2012-09-01,1.8,12.3,90.4,0,0,104.5
2012-09-02,2.5,12.6,95.4,0,0,110.5
2012-09-03,4.6,25.4,99.3,0,0,129.3
2012-09-04,0.8,21.2,99.6,0,0,121.6
2012-09-05,4.9,21.9,88.7,0,0,115.5
2012-09-06,8.3,25.8,88.2,0,0,122.3
2012-09-07,9.0,20.6,81.1,0,0,110.7
2012-09-08,5.0,23.6,72.2,0,0,100.8
2012-09-09,9.6,31.0,80.4,0,0,121.0
2012-09-10,6.5,31.4,87.2,0,0,125.1
2012-09-11,1.3,33.0,86.2,0,0,120.5
2012-09-12,1.6,25.9,80.0,0,0,107.5
2012-09-13,2.3,71.9,82.1,0,0,156.3
2012-09-14,8.2,32.9,93.5,0,0,134.6
2012-09-15,11.3,43.6,87.0,0,0,141.9
2012-09-16,6.0,39.1,77.0,0,0,122.1
2012-09-17,5.2,25.0,77.4,0,0,107.6
2012-09-18,3.5,13.1,64.6,0,0,81.2
2012-09-19,1.0,3.7,32.7,0,0,37.4
2012-09-20,1.7,7.5,43.6,0,0,52.8
2012-09-21,5.3,7.8,27.4,0,0,40.5
2012-09-22,9.9,13.9,49.3,0,0,73.1
2012-09-23,15.0,19.0,39.2,0,0,73.2
2012-09-24,10.8,24.5,71.9,0,0,107.2
2012-09-25,6.9,18.8,52.7,0,0,78.4
2012-09-26,3.3,12.1,65.4,0,0,80.8
2012-09-27,0.5,11.0,47.4,0,0,58.9
2012-09-28,1.6,10.2,43.3,0,0,55.1
2012-09-29,2.6,9.6,39.5,0,0,51.7
2012-09-30,1.5,9.6,67.3,0,0,78.4
2012-10-01,1.0,13.3,61.8,0,0,76.1
2012-10-02,0.4,11.4,71.4,0,0,83.2
2012-10-03,1.5,13.5,71.4,0,0,86.4
2012-10-04,2.7,11.4,64.5,0,0,78.6
2012-10-05,5.2,7.0,38.3,0,0,50.5
2012-10-06,6.0,5.2,25.0,0,0,36.2
2012-10-07,2.0,6.9,17.0,0,0,25.9
2012-10-08,0.8,8.1,9.0,0,0,17.9
2012-10-09,0.7,6.1,11.8,0,0,18.6
2012-10-10,0.4,5.7,8.8,0,0,14.9
2012-10-11,1.3,8.7,8.9,0,0,18.9
2012-10-12,11.5,6.9,6.0,0,0,24.4
2012-10-13,5.6,6.2,4.7,0,0,16.5
2012-10-14,2.6,3.8,8.3,0,0,14.7
2012-10-15,7.3,6.8,6.5,0,0,20.6
2012-10-16,1.7,6.9,8.8,0,0,17.4
2012-10-17,1.6,8.0,10.2,0,0,19.8
2012-10-18,2.7,10.3,18.9,0,0,31.9
2012-10-19,2.6,10.8,17.1,0,0,30.5
2012-10-20,5.9,12.9,18.9,0,0,37.7
2012-10-21,3.5,14.8,21.2,0,0,39.5
2012-10-22,2.7,17.2,19.3,0,0,39.2
2012-10-23,3.7,12.8,17.5,0,0,34.0
2012-10-24,1.9,8.8,16.5,0,0,27.2
2012-10-25,0.8,4.4,9.3,0,0,14.5
2012-10-26,1.2,6.0,10.5,0,0,17.7
2012-10-27,1.3,15.3,21.8,0,0,38.4
2012-10-28,0.7,16.2,29.1,0,0,46.0
2012-10-29,0.6,14.3,12.5,0,0,27.4
2012-10-30,0.7,17.0,12.3,0,0,30.0
2012-10-31,0.8,20.0,18.9,0,0,39.7
2012-11-01,1.6,24.9,44.4,0,0,70.9
2012-11-02,1.6,16.9,38.4,0,0,56.9
2012-11-03,0.7,12.0,42.5,0,0,55.2
2012-11-04,0.4,8.3,11.7,0,0,20.4
2012-11-05,1.6,6.8,6.1,0,0,14.5
2012-11-06,0.9,6.8,3.3,0,0,11.0
2012-11-07,0.7,5.9,2.4,0,0,9.0
2012-11-08,2.5,5.8,1.0,0,0,9.3
2012-11-09,3.6,5.9,4.4,0,0,13.9
2012-11-10,2.6,5.7,7.8,0,0,16.1
2012-11-11,4.1,6.2,7.5,0,0,17.8
2012-11-12,0.6,8.2,9.0,0,0,17.8
2012-11-13,2.5,10.0,12.2,0,0,24.7
2012-11-14,0.9,9.4,12.6,0,0,22.9
2012-11-15,0.9,15.4,12.5,0,0,28.8
2012-11-16,0.6,10.5,10.2,0,0,21.3
2012-11-17,0.5,9.2,7.0,0,0,16.7
2012-11-18,4.4,9.3,5.9,0,0,19.6
2012-11-19,9.6,14.6,4.6,0,0,28.8
2012-11-20,4.9,19.6,5.2,0,0,29.7
